Hadi, Elisha, Matt, Dwayne PM tools and workflow development 
Wed, May 21, 2025

0:02 - Dwayne Gibson Hey, Elisha.
42:40 - Elisha Abriham Is that clear from Alicia's standpoint? Yeah, like I was looking at the fill off and I think we are a good point like you'll have the main agent that can understand this after we submitting so you will understand which tool we are talking about and what kind of things we have to like context we have given. Right. So it will then call that specific tool or that specific workflow flow to do this job and to get the result back. And we can use that result. We can send back the result to the portal, I think.

43:29 - Matthew Prisco Right. Sending the context to the portal. And then the product team will either have a further LLM conversation inside the portal. Or for now, I think it really is better just copy and paste it to your own chat GPT or Claude or anything you want. And then we would try at the end of that conversation, ask for the data in the format that we would need it to be able to paste it back into the right Airtable table, either in the PCF table, or it could be lead a strategy if it's one of the specific tools.

44:18 - Elisha Abriham Yeah, I think one thing you've mentioned, Matthew, was the POC or something. I was thinking like when you create the PCFs at the first time, I haven't understand how you do that. So I think I've got the point, like, you have the POC, then you generate from that POC the PCF. So at this time, the PCF writer was using, like, it will take the PCF you have generated from that POC, and that relates the meetings related with this PCF, then it will be another. Give the draft of the another PCF but one thing you have added on the fill out is like we will select the meeting and we will give like if we are using if we want to use the PCF writer so we will select PCF writer then we will give the meeting as a context then it will analyze based on that meeting and right so how How we, like, we have, our current workflow assumes we have the meetings already on the Airtable, like, if you go. Yeah, I see where you're going with that.

45:51 - Matthew Prisco So in terms of what we are going to do after this meeting, I'm going to find the chat GPT conversation I had, and I will share it with Dwayne on everybody's channels, probably we should make sure that Hadi is on Alicia's channel, probably makes sense. I'm gonna add him now. Okay, so we'll share it there, but I think Dwayne can be the one to run it first, to just using the prompt, give the PCF writer prompt the the conversation from chat GPT, and it can create the PCF that way. So I think it's just a matter of taking the PCF writer from assuming that it's going to send the output to the air table immediately, it's going to be more about taking the new meeting, have a conversation, and then the user will ask for a final version. And then we can have an automation that sends the version to the table. But I think it's going to need that human in the loop.

47:18 - Dwayne Gibson Matthew, so the fill out, that fill out form is going to be popping, like, I'm going to interact with that from the project portal, right? And then I'm going to get my feedback from the tool.

47:31 - Matthew Prisco The URL for that, we'll have to see, is it, and probably that one needs to be, it creates a new record every time you submit it. Sometimes with fill out, it's an update where we create the record and then it just updates it. In this case, I think you just get a new form every time and you tell it which tool, which PCF or PCFs. I think there'll be times when to give it multiple, then it should allow you to pick only the meetings or only the resources that are linked to those PCFs, which now explains why it's important that we're linking everything to make it easy to filter and to customize what you want to have on that. I think this is even more advanced than like with the namespaces. The idea is that you would have a package that's always the same. This allows us to really customize what context we want every single time. So I'm excited to see what that looks like when we start using it. Okay, so Hadi, you get maybe the last word for anything to clarify anything that I'm making assumptions that it's clear. Cause it's clear to me now. That's the first step is I was working on this. It wasn't clear to me. Now it's clear. That's why I wanted to have the meeting, get everybody up, up to speed.

49:04 - Hadi Ur Rehman And now it's how fast can we, can we build it? Uh, so yeah, I was connected at the start and then I just got disconnected, uh, because of some electricity problems. But yes, I think most of the things are clear about the PCS and then we have provided the clear direction. Fortunately, I have the Firefly connected so I will just need to look for the meeting node again. Just know of the whole process because I think I was disconnected for seven to eight minutes. So I can just tell the things in the chat and I just noticed that when I didn't meet the Alicia said, well, yeah. And that when, uh, then, uh, I was listening, so everything was clear according to the PCS, your purpose with that. And yeah, I'm excited to. Okay.

50:01 - Matthew Prisco And then last thing that I guess kind of applies to both of you guys is just to be mindful of when Dwayne's working is 10 Eastern time. Too late in his day beyond when you guys would still be up. But really, let's try to make updates for the beginning of when he's starting. When you're done, send a summary. Because we didn't bring up the Slack summarizer here, but that's its own tool. That's something that we need to work into everybody's freelancer process. And it starts with the project and the product team.

50:41 - Elisha Abriham Okay. Can I ask you, Matthew, the final question? So, you have mentioned that on the JotForm we can select PCFs, not one PCF. Is there any relation between any PCFs, like two or three PCFs? And what will be the goal of using the PCFs together? What kind of a response do you expect from that?

51:15 - Matthew Prisco I think we should try to make it so that if it would be a question of, do you want to include the project's PCF? So we are working on the feature. The feature would be N8N Imaginator is going to be a feature. Do we want to include also the PCF content for the project? Master projects or do we want also the the PCF content for whatever these tools are so we need to look at what's our structure of the level above the two levels above so it would be easy to say for this one I don't care about the PCF for the project I just want the PCF for for the feature. So I think it would be good to have the ability to pick which PCF records we want. Presumably it would be for the related ones, but we might find that we've got a feature here that also would benefit from putting the PCF context of an unrelated PCF.

52:29 - Dwayne Gibson So something I see that could be added to the form that to be added is either replacing the meetings with the chunks from the meeting. So instead of adding an entire meeting, we're adding just the extracted PCF section. So if there's seven different PCFs, we only need this one topic in the form, either that or a open text field to tell it with PCF to pay attention.

52:57 - Matthew Prisco I think the reality is we're not going to use meetings that much. So, we don't want to put a lot of stuff in the context window. So, we would be using the constraints document that doesn't exist that we're not ready for yet. But I think that when we're running these tools, we're really not going to put meetings as often and we're definitely not going to put the unstructured 20 topic meetings. But I see where you're coming from I just don't think it's going to come up as much.

53:30 - Dwayne Gibson Got it. So circle back around really quick. We still have, is this still a structure for PCF writer is the multiple inputs. We have our preferred creation, which would be POC, but we also have the ability for the project manager to create it from his memory. Right?

53:50 - Matthew Prisco Right. To start the record. To start the record from memory.

53:55 - Dwayne Gibson And the least favored is to start the record from an isolated PCF meeting? Yeah. Okay.

54:01 - Matthew Prisco I mean, I think we just got to work through that in what it's like going through the process. And doing it manually for a few of them is totally fine. So let's not get, let's not get too fixated on how to automate everything. If anything, I want there to be, you know, see each step of the process, have to decide, should we do it this that way, but we'll get there. I think there's a pretty clear path, at least from what I'm seeing. And it seems like most of you guys are in agreement that all these things fit together. There's a plan here. This is gonna allow us to do amazing things. So I'm excited to kind of have this be the core of the team. So I'm looking at this as, I'm, you know, talking to Dwayne every day. We're having conversations about a lot of stuff, but I'm going to be following this closely, but we've got a lot of other projects going on too. So please, you know, lean on Dwayne and also be aware if you write a message in the middle of the night, I'm going to see it first and I'm going to respond, but try to gear that towards when Dwayne is working and, and Dwayne vice versa to, to up them ahead of when they're going to be working.

55:25 - Dwayne Gibson So guys, remember, I don't know if you guys are aware of this feature with Slack, but right next to the send button is a down arrow and it allows you to schedule a message. So if you have an update or a request that you need me to accomplish when I start my working day, you can just schedule that. It doesn't even have to be exactly when. The more active I see the message as it pops up while I'm working, it catches my attention first. So if I wake up and I have 13 messages to go through, it's going to take me a while to go back through each one. So your message may be lost in the stack. If it comes in as I start working, it catches my attention faster. So that's always a better method to schedule your message instead of sending it in the Okay.

56:16 - Matthew Prisco Noted. Okay.

56:17 - Matthew Prisco All right, let's end it there guys but this was, this was a good meeting I'm glad I got this off my chest. And now we can get some other help from some other people off a lobby is going to be helping harsher is going to be helping. But I think this is the core team that that I want to work on all of the pieces of this and putting them together. Okay.

56:43 - Unidentified Speaker All right.

56:45 - Matthew Prisco Talk to you.

56:48 - Unidentified Speaker Bye guys.
